timestamp,instance,producers,consumers
1648104460777,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104521341,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104517630,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104520777,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104581344,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104577631,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104580779,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104641345,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104637633,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104640779,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104701347,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104697633,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104700782,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104761350,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104757633,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104760781,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104821354,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104817634,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104820783,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104881357,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104877637,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104880783,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648104941357,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104937638,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648104940784,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105001362,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648104997638,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648105000784,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105061367,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648105057642,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648105060789,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105121369,ip-172-19-193-142.ap-northeast-2.compute.internal,24,6
1648105117644,ip-172-19-232-62.ap-northeast-2.compute.internal,14,0
1648105120789,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105181371,ip-172-19-193-142.ap-northeast-2.compute.internal,22,4
1648105177645,ip-172-19-232-62.ap-northeast-2.compute.internal,10,0
1648105180790,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105241372,ip-172-19-193-142.ap-northeast-2.compute.internal,20,4
1648105237646,ip-172-19-232-62.ap-northeast-2.compute.internal,8,0
1648105240791,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105301375,ip-172-19-193-142.ap-northeast-2.compute.internal,18,2
1648105302649,ip-172-19-232-62.ap-northeast-2.compute.internal,8,0
1648105300792,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105361377,ip-172-19-193-142.ap-northeast-2.compute.internal,12,2
1648105362653,ip-172-19-232-62.ap-northeast-2.compute.internal,8,0
1648105360792,ip-172-19-218-74.ap-northeast-2.compute.internal,12,6
1648105421385,ip-172-19-193-142.ap-northeast-2.compute.internal,12,2
1648105422652,ip-172-19-232-62.ap-northeast-2.compute.internal,8,0
1648105420793,ip-172-19-218-74.ap-northeast-2.compute.internal,10,6
1648105481386,ip-172-19-193-142.ap-northeast-2.compute.internal,8,2
1648105482654,ip-172-19-232-62.ap-northeast-2.compute.internal,6,0
1648105480793,ip-172-19-218-74.ap-northeast-2.compute.internal,10,6
1648105541393,ip-172-19-193-142.ap-northeast-2.compute.internal,6,0
1648105542655,ip-172-19-232-62.ap-northeast-2.compute.internal,6,0
1648105540793,ip-172-19-218-74.ap-northeast-2.compute.internal,4,2
1648105601395,ip-172-19-193-142.ap-northeast-2.compute.internal,6,0
1648105602655,ip-172-19-232-62.ap-northeast-2.compute.internal,4,0
1648105600794,ip-172-19-218-74.ap-northeast-2.compute.internal,2,2
1648105661399,ip-172-19-193-142.ap-northeast-2.compute.internal,6,0
1648105662658,ip-172-19-232-62.ap-northeast-2.compute.internal,4,0
1648105660795,ip-172-19-218-74.ap-northeast-2.compute.internal,2,2
1648105721408,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648105722663,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648105720795,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648105781414,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648105782691,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648105780797,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648105841425,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648105842736,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648105840798,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648105901434,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648105902779,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648105900802,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648105961442,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648105962817,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648105960803,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0

