Datetime,producers,consumers,TaskId,ServiceName,ClusterName,AvailabilityZone,Timestamp,CpuUtilized,CpuReserved,MemoryUtilized,MemoryReserved,NetworkRxBytes,NetworkRxDropped,NetworkRxErrors,NetworkRxPackets,NetworkTxBytes,NetworkTxDropped,NetworkTxErrors,NetworkTxPackets,EphemeralStorageReserved,dnsName,redis_time
2022-03-24 07:17:00,,,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648106220000,1.9370433044433593,4096.0,98,8192,1561,0,0,37837454,1313,0,0,81372173,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,
2022-03-24 07:17:00,,,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648106220000,2.2440401204427083,4096.0,80,8192,1717,0,0,901022,1364,0,0,356858,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,
2022-03-24 07:16:00,,,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648106160000,2.5769862365722656,4096.0,114,8192,1658,0,0,72232897,1304,0,0,158439724,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,
2022-03-24 07:16:00,,,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648106160000,2.180727030436198,4096.0,98,8192,1558,0,0,37837056,1309,0,0,81371740,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,
2022-03-24 07:16:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648106160000,19.14347045898438,2048.0,255,4096,400,0,0,1660440,661,0,0,1674945,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:16:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648106160000,4.264403432210286,2048.0,575,4096,954,0,0,8233336,1608,0,0,10185314,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:16:00,,,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648106160000,2.432303161621094,4096.0,79,8192,1719,0,0,900611,1360,0,0,356420,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,
2022-03-24 07:15:00,,,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648106100000,2.3713319396972654,4096.0,113,8192,1662,0,0,72232504,1303,0,0,158439298,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,
2022-03-24 07:15:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648106100000,19.552003173828126,2048.0,257,4096,407,0,0,1660143,673,0,0,1674566,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:15:00,,,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648106100000,1.8862276713053385,4096.0,98,8192,1559,0,0,37836657,1310,0,0,81371309,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,
